Country or Area,Year,Number of Children Ever Born per Woman
Albania,2001,1.8472172874801691
Albania,2011,1.814445307832579
Anguilla,2001,2.0307291666666667
Antigua and Barbuda,2001,2.834024362806544
Armenia,2001,1.7162202191321638
Armenia,2011,1.779768589780861
Australia,1996,1.665696757073542
Australia,2006,1.7370309872694305
Australia,2011,1.6842141674352473
Austria,2001,1.536579089338107
Azerbaijan,2019,2.34873671324452
Bahamas,2010,1.4647167474760197
Bahrain,2001,2.8911099094946415
Barbados,2010,1.3810780772436788
Belarus,1999,1.642106467242527
Belarus,2009,1.5447338311174303
Bermuda,2000,1.6092121957783845
Bolivia (Plurinational State of),2012,2.9814888508012807
Cambodia,1998,1.337848337737106
Cambodia,2008,1.3330968753126355
Chile,2002,2.1957606012825726
China,2000,1.27384553848929
Cook Islands,1996,3.8079436902966313
Cook Islands,2011,2.544753666792027
Croatia,2001,1.620860027547165
Czechia,2001,1.6820862919846906
Czechia,2011,1.575945119357297
Czechia,2021,1.5699014646111753
Dominica,2001,2.218274111675127
Dominican Republic,2010,2.4362326854295135
Estonia,2000,1.5444853200797635
Estonia,2011,1.5069683098113258
Eswatini,1997,2.216478515575893
Finland,2000,1.4990803050695378
Georgia,2002,2.270885505736283
Hungary,2001,1.5201351935213054
Israel,1995,2.169195739543697
Israel,2008,1.927835325768918
Kazakhstan,1999,2.048080124317455
Kiribati,2010,3.8331544584563098
Kyrgyzstan,1999,2.3892275967912155
Kyrgyzstan,2009,1.9746312694168937
Lao People's Democratic Republic,2015,1.6898252007450816
Latvia,2000,1.429465072154174
Liechtenstein,2015,1.3403288758077931
Lithuania,2001,1.63643532964369
Lithuania,2011,1.5595241964544369
Luxembourg,2001,1.423198066217404
Malawi,1998,2.8544320826655407
Maldives,1995,2.4175368898978435
Maldives,2000,2.179564474039413
Maldives,2006,2.7474819989713697
Maldives,2014,3.6165819844217797
Mali,1998,3.4201766898337476
Mauritius,2000,2.7044070075200604
Mexico,2000,2.066892625735631
Mozambique,1997,2.2739251875383784
New Zealand,1996,1.8864897067895081
New Zealand,2006,1.833901406793347
North Macedonia,2002,1.8986022197810524
Palau,2005,2.212985074626866
Philippines,2000,2.546811401209316
Qatar,2004,3.867577413479053
Republic of Korea,2000,2.528445083927545
Republic of Korea,2005,2.419033674474816
Republic of Korea,2015,2.1923900768935036
Republic of Moldova,2004,1.7060882834765827
Republic of Moldova,2014,1.6275147354529569
Romania,2002,1.6155216508626817
Russian Federation,2010,1.4628804684612395
Saint Helena ex. dep.,1998,2.0668824163969797
Saint Lucia,2001,2.2034420323670507
Saudi Arabia,2010,0.045816554148492686
Serbia,2002,1.5064227817737752
Singapore,2000,2.1021840615508256
Singapore,2010,2.0049562143194333
Singapore,2020,1.8432876287861182
Slovakia,2001,1.936545140475399
Slovenia,2002,1.5242677887740255
Sri Lanka,2001,2.9235894581649826
Sri Lanka,2012,2.6256662771648482
State of Palestine,1997,3.3761039605775713
Tajikistan,2010,2.3637171796390697
Thailand,2000,2.361388027859952
Timor-Leste,2004,2.9713490132891147
Tokelau,2011,4.398467432950191
Tonga,1996,1.671339856981558
Türkiye,2000,3.022850917881789
Türkiye,2011,2.2888680808153565
Uganda,2002,1.8740260087486298
Ukraine,2001,1.517800296093839
Uruguay,1996,1.763347854173223
Venezuela (Bolivarian Republic of),2001,1.9120316894190483
Viet Nam,1999,1.7311140367769218
